image,checkout_session_id,http_status,error,yolo_inference_ms,postprocess_ms,product_lookup_ms,receipt_build_ms,total_backend_ms,client_total_ms,detections_count,draft_items_count
IMG_20260120_175631.jpg,127,200,,233.091,0.10999999999999988,2.321,11.609,253.842,312.021,2,2
IMG_20260120_175647.jpg,128,200,,248.287,0.26400000000000023,5.64,12.985,270.201,326.959,6,4
IMG_20260120_181212.jpg,129,200,,228.098,0.07000000000000006,1.411,14.541,247.398,301.88,1,1
IMG_20260120_181319.jpg,130,200,,227.578,0.11799999999999988,2.613,10.518,243.83,300.964,2,1
IMG_20260120_181555.jpg,131,200,,236.162,0.08700000000000019,2.002,10.551,251.967,310.933,1,1
IMG_20260120_181957.jpg,132,200,,211.569,0.07699999999999996,2.195,17.631,236.124,292.81,1,1
IMG_20260120_182035.jpg,133,200,,246.314,0.08299999999999996,1.419,12.644,263.227,319.944,1,1
IMG_20260120_182135.jpg,134,200,,220.901,0.07099999999999995,1.403,10.482,237.295,293.23,1,1
IMG_20260120_183037.jpg,135,200,,267.065,0.06699999999999995,1.222,13.968,285.043,346.114,1,1
IMG_20260120_183940.jpg,136,200,,243.162,0.12700000000000022,2.566,16.051,265.843,322.915,2,2
IMG_20260120_184124.jpg,137,200,,233.585,0.07300000000000018,1.408,12.094,250.973,306.845,1,1
IMG_20260120_184303.jpg,138,200,,287.681,0.07299999999999995,1.456,11.62,304.855,367.068,1,1
IMG_20260120_185017.jpg,139,200,,222.831,3.916,2.719,6.746,240.167,295.323,2,1
IMG_20260120_185100.jpg,140,200,,226.327,0.07200000000000006,1.408,13.634,245.64,305.261,1,1
IMG_20260120_185217.jpg,141,200,,234.356,0.07800000000000029,3.928,11.432,252.455,311.84,1,1
IMG_20260120_185319.jpg,142,200,,223.008,0.11500000000000021,2.53,10.524,240.236,298.101,1,1
IMG_20260120_185418.jpg,143,200,,226.242,0.07999999999999985,1.427,11.632,242.658,300.91,1,1
IMG_20260120_185520.jpg,144,200,,219.221,0.08000000000000007,1.559,11.615,236.192,291.03,1,1
IMG_20260120_185530.jpg,145,200,,223.245,0.07899999999999996,1.549,11.808,239.695,300.892,1,1
IMG_20260120_185542.jpg,146,200,,282.792,0.07299999999999995,1.427,14.534,301.459,367.484,1,1
IMG_20260120_185608.jpg,147,200,,346.926,0.07699999999999996,1.598,13.977,367.6,448.081,1,1
IMG_20260120_185614.jpg,148,200,,316.18,0.1160000000000001,2.38,14.019,339.782,406.653,1,1
IMG_20260120_190209.jpg,149,200,,312.605,0.17499999999999982,4.924,16.098,339.461,410.067,2,1
IMG_20260120_190403.jpg,150,200,,295.297,0.4670000000000005,6.55,18.636,328.687,400.884,6,5
